n_nodes,seed,case,src,dest,status,hop_count,shortest_hops,stretch,decision_agreement
250,0,A_reference,26,243,delivered,8,7,1.1428571428571428,
250,0,A_reference,123,101,delivered,3,3,1.0,
250,0,A_reference,126,20,delivered,6,5,1.2,
250,0,A_reference,59,180,delivered,5,5,1.0,
250,0,A_reference,109,163,delivered,5,5,1.0,
250,0,A_reference,227,67,delivered,5,4,1.25,
250,0,A_reference,70,142,delivered,5,4,1.25,
250,0,A_reference,209,51,delivered,5,5,1.0,
250,0,A_reference,136,144,delivered,4,3,1.3333333333333333,
250,0,A_reference,244,217,delivered,3,2,1.5,
250,0,A_reference,92,201,delivered,4,4,1.0,
250,0,A_reference,238,42,delivered,7,5,1.4,
250,0,A_reference,101,1,delivered,4,3,1.3333333333333333,
250,0,A_reference,145,100,delivered,3,2,1.5,
250,0,A_reference,91,183,delivered,3,3,1.0,
250,0,A_reference,186,189,delivered,2,2,1.0,
250,0,A_reference,165,46,delivered,5,4,1.25,
250,0,A_reference,199,211,delivered,2,2,1.0,
250,0,A_reference,180,224,delivered,2,2,1.0,
250,0,A_reference,176,49,delivered,4,3,1.3333333333333333,
250,0,A_reference,124,201,delivered,3,3,1.0,
250,0,A_reference,60,239,delivered,6,5,1.2,
250,0,A_reference,40,237,delivered,6,6,1.0,
250,0,A_reference,48,76,delivered,5,5,1.0,
250,0,A_reference,108,167,delivered,3,3,1.0,
250,0,A_reference,73,186,delivered,3,3,1.0,
250,0,A_reference,196,11,delivered,7,6,1.1666666666666667,
250,0,A_reference,90,188,delivered,3,3,1.0,
250,0,A_reference,150,47,delivered,7,5,1.4,
250,0,A_reference,83,189,delivered,6,5,1.2,
250,0,A_reference,29,141,delivered,3,3,1.0,
250,0,A_reference,41,111,delivered,3,3,1.0,
250,0,A_reference,47,107,delivered,3,3,1.0,
250,0,A_reference,81,217,delivered,6,5,1.2,
250,0,A_reference,184,235,delivered,2,2,1.0,
250,0,A_reference,147,34,delivered,3,3,1.0,
250,0,A_reference,118,23,delivered,3,3,1.0,
250,0,A_reference,78,26,delivered,3,2,1.5,
250,0,A_reference,104,173,delivered,3,3,1.0,
250,0,A_reference,168,216,delivered,2,2,1.0,
250,0,A_reference,157,193,delivered,7,5,1.4,
250,0,A_reference,1,215,delivered,6,6,1.0,
250,0,A_reference,44,148,delivered,6,5,1.2,
250,0,A_reference,17,39,delivered,3,3,1.0,
250,0,A_reference,233,115,delivered,5,4,1.25,
250,0,A_reference,171,41,delivered,4,3,1.3333333333333333,
250,0,A_reference,124,146,delivered,6,4,1.5,
250,0,A_reference,12,87,delivered,3,3,1.0,
250,0,A_reference,225,13,delivered,8,8,1.0,
250,0,A_reference,12,118,delivered,4,4,1.0,
250,0,A_reference,161,56,delivered,5,4,1.25,
250,0,A_reference,190,11,delivered,5,4,1.25,
250,0,A_reference,3,223,delivered,8,7,1.1428571428571428,
