n_nodes,seed,tx_pct,k_neighbors,reference_columns,connected,mean_degree,ticks,converged_hard,mean_constraint_violation,procrustes_rmse,angle_mae_deg,angle_sd_deg,angle_cv_pct,n_edge_angles,directional_correctness,mode,init_mode,uniform_normalize,early_stop,max_ticks
64,7,24.74873734152916,10,8,1,9.90625,150,1,0.0,446.7761514755443,91.7879538125124,49.28614364530621,53.69565569135456,309,0.98,A_planned_geometry,mds,1,0,150
64,8,24.74873734152916,10,8,1,9.90625,150,1,0.0,8.0194503254582,2.536543456937747,2.094007137022583,82.55356837255144,320,0.96,A_planned_geometry,mds,1,0,150
64,9,24.74873734152916,10,8,1,9.90625,150,1,0.0,9.04680750202883,2.942961180700984,2.619732305221105,89.01688280499545,314,0.925,A_planned_geometry,mds,1,0,150
64,10,24.74873734152916,10,8,1,9.953125,150,1,0.0,437.4210886254859,88.29286129613209,51.9432501512326,58.83063408378647,313,0.98,A_planned_geometry,mds,1,0,150
64,11,24.74873734152916,10,8,1,9.921875,150,1,0.0,437.58422173874317,89.52198122673504,51.54154866640426,57.574182295925084,316,0.97,A_planned_geometry,mds,1,0,150
64,12,24.74873734152916,10,8,1,9.90625,150,1,0.0,435.3722025171225,89.91784881809883,51.1413303902452,56.87561597887269,317,0.975,A_planned_geometry,mds,1,0,150
64,13,24.74873734152916,10,8,1,9.921875,150,1,0.0,440.39732030792345,90.906042156568,52.22910464189987,57.45394189744328,316,0.97,A_planned_geometry,mds,1,0,150
64,14,24.74873734152916,10,8,1,9.90625,150,1,0.0,8.11959765987028,2.3389177821933056,1.9496627455874607,83.3574724357851,313,0.98,A_planned_geometry,mds,1,0,150
64,15,24.74873734152916,10,8,1,9.90625,150,1,0.0,29.726120569379635,8.833115572966136,8.500635501529901,96.23598187197058,316,0.89,A_planned_geometry,mds,1,0,150
64,16,24.74873734152916,10,8,1,9.828125,150,1,0.0,416.1493162505508,86.26956003048284,50.10240147941839,58.07657006911244,319,0.95,A_planned_geometry,mds,1,0,150
64,17,24.74873734152916,10,8,1,9.90625,150,1,0.0,438.8010346000556,91.17243310058,50.43529486831859,55.318579479697746,319,0.975,A_planned_geometry,mds,1,0,150
64,18,24.74873734152916,10,8,1,9.921875,150,1,0.0,26.608709578600923,9.400673625591333,7.68854083423696,81.78712654491636,316,0.97,A_planned_geometry,mds,1,0,150
64,19,24.74873734152916,10,8,1,9.890625,150,1,0.0,12.307874721672388,3.4877335721669382,4.0261205891033125,115.43658670584385,309,0.96,A_planned_geometry,mds,1,0,150
